DB ID,Model No.,Frequency_Hz,Phase,HP,Power(KW),Outlet (mm),Outlet (inch),Pass Solid Dia(mm),Max Flow (LPM),Max Head (M),Max Head (ft),Category,Product Link,Head Rated/M,Q Rated/LPM,id
618,BPS-80,60,1,1/10,80W,20,"3/4""",3.0,40,4,13,Clean Water,https://www.hungpump.com/bps,2.0,35.0,c08335bb-a614-4d48-bfa1-140073dabfb4
619,BPS-80,60,1,1/10,80W,20,"3/4""",3.0,40,4,13,Clean Water,https://www.hungpump.com/bps,2.0,35.0,2b3b4005-cc02-4d48-98fd-5361b4ac07e4
622,DC-1812,60,1,1/8,96W,25,"1""",3.0,115,0.75,2,Speciality Pump,https://www.hungpump.com/dc,3.0,48.0,898d607c-5f26-4f74-be63-103031da9e35
623,DC-1812,50,1,1/8,96W,25,"1""",3.0,115,0.75,2,Speciality Pump,https://www.hungpump.com/dc,3.0,48.0,21b0b6bb-c914-4710-a7ee-1c86b23a82b9
624,DC-1824,60,1,1/6,120W,25,"1""",3.0,115,0.75,2,Speciality Pump,https://www.hungpump.com/dc,3.0,48.0,0fad84c5-1ac7-4a3b-9314-c545d8aad9f3
625,DC-1824,50,1,1/6,120W,25,"1""",3.0,115,0.75,2,Speciality Pump,https://www.hungpump.com/dc,3.0,48.0,65926675-42d1-4691-81ee-98d00d994064
626,DC-2312,60,1,1/4,132W,25,"1""",3.0,145,2.3,8,Speciality Pump,https://www.hungpump.com/dc,3.0,80.0,03ca8d55-7b82-4692-afd2-9e8dd2f82c81
627,DC-2312,50,1,1/4,132W,25,"1""",3.0,145,2.3,8,Speciality Pump,https://www.hungpump.com/dc,3.0,80.0,6627bbcb-3b3c-4659-a669-e3365f7cf43b
628,DC-2324,60,1,1/4,132W,25,"1""",3.0,145,2.3,8,Speciality Pump,https://www.hungpump.com/dc,3.0,80.0,6c7cd719-ccab-490e-b593-085e81168f2c
629,DC-2324,50,1,1/4,132W,25,"1""",3.0,145,2.3,8,Speciality Pump,https://www.hungpump.com/dc,3.0,80.0,b465a7c2-7141-43c5-a812-ca542ef4b7e0
630,DC-3024,60,1,1/4,168W,32,"1-1/4""",5.0,190,5.5,18,Speciality Pump,https://www.hungpump.com/dc,3.0,120.0,4c3c753d-e3f8-41d5-8139-d1077678125a
631,DC-3024,50,1,1/4,168W,32,"1-1/4""",5.0,190,5.5,18,Speciality Pump,https://www.hungpump.com/dc,3.0,120.0,ac6d747e-32b4-4a69-acd5-0c64b674ce19
632,DS-05,60,1,1/2,400W,50,"2""",15.0,300,10,33,Dirty Water,https://www.hungpump.com/dsk,6.0,220.0,bb1a602f-932f-46bb-9236-ef555d58c08e
633,DS-05,60,1,1/2,400W,50,"2""",15.0,300,10,33,Dirty Water,https://www.hungpump.com/dsk,6.0,220.0,d91e43a1-619e-4947-9940-b466a352b837
634,DS-05,60,3,1/2,400W,50,"2""",15.0,300,10,33,Dirty Water,https://www.hungpump.com/dsk,6.0,220.0,aacce71e-4614-4072-b603-f801a75d43eb
635,DS-05,60,3,1/2,400W,50,"2""",15.0,300,10,33,Dirty Water,https://www.hungpump.com/dsk,6.0,220.0,60e51ff8-a0b3-4407-96d4-c3699d6675f2
636,DS-10,60,1,1,750W,50,"2""",15.0,420,14,46,Dirty Water,https://www.hungpump.com/dsk,9.0,220.0,7c0ad02b-f755-453d-9721-e3fcc40578ee
637,DS-10,60,1,1,750W,50,"2""",15.0,420,14,46,Dirty Water,https://www.hungpump.com/dsk,9.0,220.0,fb4a6681-e9f6-4228-a78a-71a54d15860a
639,DS-10,60,1,1,750W,50,"2""",15.0,420,14,46,Dirty Water,https://www.hungpump.com/dsk,9.0,220.0,270789b5-a4f8-4036-9490-2c394788c702
