DB ID,Model No.,Frequency_Hz,Phase,HP,Power(KW),Outlet (mm),Outlet (inch),Pass Solid Dia(mm),Max Flow (LPM),Max Head (M),Max Head (ft),Category,Product Link,Head Rated/M,Q Rated/LPM,id
917,KS-10,60,3,1,750W,50,"2""",6.0,420,14,46,,https://www.hungpump.com/ks,9.0,190.0,5cb6f4d9-e024-41b7-9c69-48b07d482956
918,KS-10,60,3,1,750W,50,"2""",6.0,420,14,46,,https://www.hungpump.com/ks,9.0,190.0,7adce4a1-d29e-46e2-9b1d-d65e6a7804ca
919,KS-100,60,3,10,7.5kW,100,"4""",11.0,2400,28,92,,https://www.hungpump.com/ks,15.0,1400.0,5e7a6de5-b75a-4fce-a346-a8998f81ec8d
920,KS-100,60,3,10,7.5kW,100,"4""",11.0,2400,28,92,,https://www.hungpump.com/ks,15.0,1400.0,7ca9089b-4b07-4b45-bee7-b98b34624935
921,KS-20,60,1,2,1.5kW,80,"3""",9.0,700,17,56,,https://www.hungpump.com/ks,9.0,520.0,48b8fe6c-176f-4985-a140-271c34dce828
922,KS-20,60,3,2,1.5kW,80,"3""",9.0,700,17,56,,https://www.hungpump.com/ks,9.0,520.0,90d54c33-5280-43a3-9c30-d003f4648599
923,KS-20,60,3,2,1.5kW,80,"3""",9.0,700,17,56,,https://www.hungpump.com/ks,9.0,520.0,7fa42419-61b0-473d-bc29-c6d4622cd27d
924,KS-20,60,3,2,1.5kW,80,"3""",12.0,960,15.5,51,,https://www.hungpump.com/ks,9.0,620.0,377c051a-451d-4b6d-bcbf-861cdd7e4d2d
925,KS-30,60,3,3,2.2kW,80,"3""",11.0,900,18,59,,https://www.hungpump.com/ks,10.0,530.0,938a4dd8-2045-430c-a4df-37be0a73d008
926,KS-30,60,3,3,2.2kW,80,"3""",11.0,900,18,59,,https://www.hungpump.com/ks,10.0,530.0,98fd0842-ee33-4548-87c1-b7de2fed505a
927,KS-30,60,3,3,2.2kW,80,"3""",12.0,"1,200",20,66,,https://www.hungpump.com/ks,12.0,800.0,1dcaa9ba-31a2-41ee-8741-091dc1c3b431
928,KS-50,60,3,5,3.7kW,100,"4""",11.0,1200,22,72,,https://www.hungpump.com/ks,15.0,630.0,e3441bdd-b204-44fe-9bc3-43ba9ebfa9c5
929,KS-50,60,3,5,3.7kW,100,"4""",11.0,1200,22,72,,https://www.hungpump.com/ks,15.0,630.0,08b0b103-7501-47c9-8ffd-00f67c33a0d9
930,KS-50,60,3,5,3.7kW,80,"3""",12.0,"1,400",26,85,,https://www.hungpump.com/ks,15.0,1020.0,f49b29ee-07a4-472b-b78d-4275126445d8
931,KS-75,60,3,7.5,5.5kW,100,"4""",11.0,1900,24,79,,https://www.hungpump.com/ks,15.0,880.0,b67b2516-6547-4b2f-941a-96c54aaf9810
932,KS-75,60,3,7.5,5.5kW,100,"4""",11.0,1900,24,79,,https://www.hungpump.com/ks,15.0,880.0,c383eb55-2840-43f8-8355-9236095932c8
933,KSL-10,60,1,1,750W,80,"3""",9.0,560,13,43,,https://www.hungpump.com/ksl,7.5,325.0,6af56f47-3d9c-49c3-a2f3-4b43ff606b7d
934,KSL-10,60,3,1,750W,80,"3""",9.0,560,13,43,,https://www.hungpump.com/ksl,7.5,325.0,6370374f-e4b0-4370-b7dc-ea7aae68c561
967,KT-215,60,1,2,1.5kW,50,"2""",N/A,460,26,85,Construction,https://www.hungpump.com/kt,15.0,345.0,3da96a7f-726b-46d5-8fc3-7ac8ad2c61a0
968,KT-215,60,3,2,1.5kW,50,"2""",N/A,460,26,85,Construction,https://www.hungpump.com/kt,15.0,345.0,9c85ae76-37e3-4d41-b00f-1c717e2b7921
969,KT-215,60,3,2,1.5kW,50,"2""",N/A,460,26,85,Construction,https://www.hungpump.com/kt,15.0,345.0,aad5d685-8c1e-4cf6-8f61-d15909bebe19
970,KT-222,60,3,3,2.2kW,50,"2""",N/A,720,33,108,Construction,https://www.hungpump.com/kt,20.0,460.0,8d46a703-f235-4330-8f1e-10842dffcd5e
971,KT-222,60,3,3,2.2kW,50,"2""",N/A,720,33,108,Construction,https://www.hungpump.com/kt,20.0,460.0,17a76810-94f2-437a-9a9e-02fc4f2ab143
972,KT-237,60,3,5,3.7kW,50,"2""",N/A,550,37,121,Construction,https://www.hungpump.com/kt,20.0,500.0,4991d890-20fc-4eb3-b34b-d120a7880311
973,KT-237,60,3,5,3.7kW,50,"2""",N/A,550,37,121,Construction,https://www.hungpump.com/kt,20.0,500.0,9ca6a446-7bd5-4fa8-90bf-5a84fd5780ce
974,KT-315,60,1,2,1.5kW,80,"3""",N/A,610,17,56,Construction,https://www.hungpump.com/kt,10.0,450.0,c98d4934-5f20-4e52-851f-9277ab3bd37b
975,KT-315,60,3,2,1.5kW,80,"3""",N/A,610,17,56,Construction,https://www.hungpump.com/kt,10.0,450.0,efa9499a-1b51-4577-8860-e4d7c79529e4
976,KT-315,60,3,2,1.5kW,80,"3""",N/A,610,17,56,Construction,https://www.hungpump.com/kt,10.0,450.0,be24b02e-e1af-4590-b114-8483ead73660
977,KT-322,60,3,3,2.2kW,80,"3""",N/A,800,22,72,Construction,https://www.hungpump.com/kt,15.0,560.0,5adfa22b-87b5-432b-8f13-a18ea7252fb6
978,KT-322,60,3,3,2.2kW,80,"3""",N/A,800,22,72,Construction,https://www.hungpump.com/kt,15.0,560.0,8ba9fc38-d8af-4814-99d0-20cd5a52b1c3
979,KT-322,60,3,3,2.2kW,80,"3""",N/A,800,22,72,Construction,https://www.hungpump.com/kt,15.0,560.0,83478ad8-9c2e-4a4e-98e4-253ae222a141
980,KT-337,60,3,5,3.7kW,80,"3""",N/A,950,31,102,Construction,https://www.hungpump.com/kt,20.0,645.0,1be78228-7766-4fee-9ad6-76ea5245cb72
981,KT-337,60,3,5,3.7kW,80,"3""",N/A,950,31,102,Construction,https://www.hungpump.com/kt,20.0,645.0,02edb338-986e-4e0b-99c1-7d7328398f45
982,KT-355,60,3,7.5,5.5kW,80,"3""",N/A,970,40,131,Construction,https://www.hungpump.com/kt,25.0,730.0,b5846dbd-7b69-43c3-8881-a804f48c96d9
983,KT-355,60,3,7.5,5.5kW,80,"3""",N/A,970,40,131,Construction,https://www.hungpump.com/kt,25.0,730.0,d68f1dee-b73a-459a-80ff-f088a99ae64a
984,KT-4110,60,3,15,11kW,100,"4""",N/A,1630,48,157,Construction,https://www.hungpump.com/kt,30.0,1180.0,65759947-92af-4e71-be5a-8d3308fa2968
985,KT-4110,60,3,15,11kW,100,"4""",N/A,1630,48,157,Construction,https://www.hungpump.com/kt,30.0,1180.0,e833c6a4-2670-40f5-a282-c62d5a53901a
986,KT-4150,60,3,20,15kW,100,"4""",N/A,1930,52,171,Construction,https://www.hungpump.com/kt,30.0,1780.0,8eaf9e0a-4481-4f72-aa97-3d499c6e0dea
987,KT-4150,60,3,20,15kW,100,"4""",N/A,1930,52,171,Construction,https://www.hungpump.com/kt,30.0,1780.0,a37540d8-e24f-48b2-a121-fd71d5910e16
988,KT-437,60,3,5,3.7kW,100,"4""",N/A,1560,18,59,Construction,https://www.hungpump.com/kt,10.0,1090.0,526957fb-f442-47bf-aebb-1661c752a147
989,KT-437,60,3,5,3.7kW,100,"4""",N/A,1560,18,59,Construction,https://www.hungpump.com/kt,10.0,1090.0,43214923-589d-40ed-be2d-45a8932c2a00
990,KT-455,60,3,7.5,5.5kW,100,"4""",N/A,1520,28,92,Construction,https://www.hungpump.com/kt,20.0,800.0,fe87e6aa-c926-4d2e-970a-7042c27c94ef
991,KT-455,60,3,7.5,5.5kW,100,"4""",N/A,1520,28,92,Construction,https://www.hungpump.com/kt,20.0,800.0,5c936958-90d4-492a-8ab7-5fc64b2dfadb
992,KT-475,60,3,10,7.5kW,100,"4""",N/A,1590,38,125,Construction,https://www.hungpump.com/kt,20.0,1200.0,dc5c8fe9-c37d-4b32-bf11-8252d41b0d01
993,KT-475,60,3,10,7.5kW,100,"4""",N/A,1590,38,125,Construction,https://www.hungpump.com/kt,20.0,1200.0,582cf495-7707-4c12-8f0f-11809628e1b5
994,KT-6110,60,3,15,11kW,150,"6""",N/A,2450,34,112,Construction,https://www.hungpump.com/kt,20.0,1810.0,a032ecc0-c689-48aa-8410-0a4905d545ea
995,KT-6110,60,3,15,11kW,150,"6""",N/A,2450,34,112,Construction,https://www.hungpump.com/kt,20.0,1810.0,ab72b954-6f4e-43e5-9467-9b1fce40d4b4
996,KT-6150,60,3,20,15kW,100,"4""",N/A,2960,40,131,Construction,https://www.hungpump.com/kt,25.0,2560.0,5d96c739-d00b-44af-9fcc-1362d7f9167d
997,KT-6150,60,3,20,15kW,100,"4""",N/A,2960,40,131,Construction,https://www.hungpump.com/kt,25.0,2560.0,241d2a7a-5f54-47a5-baed-71f6b895e123
998,KT-675,60,3,10,7.5kW,150,"6""",N/A,2060,28,92,Construction,https://www.hungpump.com/kt,15.0,1600.0,4bf98bf3-eb8d-45b4-bf08-f6fcc899cfd6
999,KT-675,60,3,10,7.5kW,150,"6""",N/A,2060,28,92,Construction,https://www.hungpump.com/kt,15.0,1600.0,c17ba6ad-f06a-459c-bfc2-aec9ec435c79
1000,MAS-150,60,1,1/5,150W,40,"1-1/2""",19.0,220,6.5,21,Clean Water,https://www.hungpump.com/mas,4.0,120.0,b861df81-5bab-47b0-8a41-e464d57db40c
1001,MAS-150,60,1,1/5,150W,40,"1-1/2""",19.0,220,6.5,21,Clean Water,https://www.hungpump.com/mas,4.0,120.0,da1faf41-ef16-4e47-bf02-d484945b024c
1002,MAS-250,60,1,1/3,250W,40,"1-1/2""",19.0,280,9,30,Clean Water,https://www.hungpump.com/mas,6.0,140.0,9df49350-a50a-462c-a4bb-f716fe2b4530
1003,MAS-250,60,1,1/3,250W,50,"2""",19.0,280,9,30,Clean Water,https://www.hungpump.com/mas,6.0,140.0,9d8714a2-d460-4428-9ae0-713554f539c7
1004,MAS-250,60,1,1/3,250W,40,"1-1/2""",19.0,280,9,30,Clean Water,https://www.hungpump.com/mas,6.0,140.0,c53258bd-7faa-4c73-847c-d63542f59fca
1005,MAS-250,60,1,1/3,250W,50,"2""",19.0,280,9,30,Clean Water,https://www.hungpump.com/mas,6.0,140.0,90701a18-c8dd-41a7-9ccf-941d8a4f5630
1006,MAS-400,60,1,1/2,400W,50,"2""",19.0,320,10.5,34,Clean Water,https://www.hungpump.com/mas,6.0,230.0,7eeaec43-c5fe-4c14-a6e2-35a766fcc57a
1007,MAS-400,60,1,1/2,400W,50,"2""",19.0,320,10.5,34,Clean Water,https://www.hungpump.com/mas,6.0,230.0,4245e028-35ef-4d61-a759-cdba98f39e52
1008,MAS-750,60,1,1,750W,50,"2""",19.0,380,13,43,Clean Water,https://www.hungpump.com/mas,8.0,260.0,f3ee46e6-d4d3-4ede-b202-8b588caa7cd5
1009,MAS-750,60,1,1,750W,50,"2""",19.0,380,13,43,Clean Water,https://www.hungpump.com/mas,8.0,260.0,b8db9cbd-a2fb-4d40-99e0-6832cde7133e
1010,MH-150,60,1,1/5,150W,50,"2""",6.0,210,6,20,Clean Water,https://www.hungpump.com/mh,4.0,110.0,2a6486e5-c528-4e1f-a486-818d2ebee620
1011,MH-150,60,1,1/5,150W,50,"2""",6.0,210,6,20,Clean Water,https://www.hungpump.com/mh,4.0,110.0,0cc5fe50-cb68-4afb-a207-a1bc4276300f
1012,MH-250,60,1,1/3,250W,50,"2""",6.0,230,7,23,Clean Water,https://www.hungpump.com/mh,4.0,155.0,6b8dca36-b8ae-40fd-b74d-036e01cf0f83
1013,MH-250,60,1,1/3,250W,50,"2""",6.0,230,7,23,Clean Water,https://www.hungpump.com/mh,4.0,155.0,7801a705-f5d2-4ac3-80a1-3110944220d4
1014,MH-400,60,1,1/2,400W,50,"2""",6.0,320,10,33,Clean Water,https://www.hungpump.com/mh,6.0,185.0,fccca80d-6e24-4f6d-98b0-16ae0a723d88
1015,MH-400-FR,60,1,1/2,400W,50,"2""",6.0,320,10,33,Clean Water,https://www.hungpump.com/mh,6.0,185.0,b34f7779-f8ce-4a50-ba16-89c65fba859a
1016,MH-400,60,1,1/2,400W,50,"2""",6.0,320,10,33,Clean Water,https://www.hungpump.com/mh,6.0,185.0,293c6854-a085-4435-baff-177366faed9f
1017,MH-400-FR,60,1,1/2,400W,50,"2""",6.0,320,10,33,Clean Water,https://www.hungpump.com/mh,6.0,185.0,0cb00f7c-5b19-4993-a0a0-896efd3de9eb
1018,MH-750,60,1,1,750W,50,"2""",6.0,390,12.5,41,Clean Water,https://www.hungpump.com/mh,8.0,265.0,b9dd3d3a-7904-469c-9dc0-4d268d840e91
1019,MH-750-FR,60,1,1,750W,50,"2""",6.0,390,12.5,41,Clean Water,https://www.hungpump.com/mh,8.0,265.0,8b1c4a8a-bde5-4ef5-ac0d-06a84a1b01e2
1020,MH-750,60,1,1,750W,50,"2""",6.0,390,12.5,41,Clean Water,https://www.hungpump.com/mh,8.0,265.0,0a9a740b-6887-41dd-845d-7992016972e8
1021,MH-750-FR,60,1,1,750W,50,"2""",6.0,390,12.5,41,Clean Water,https://www.hungpump.com/mh,8.0,265.0,8ca76c95-fb3e-47ff-ae92-7de2a3e87850
1022,MH-750,60,3,1,750W,50,"2""",6.0,390,12.5,41,Clean Water,https://www.hungpump.com/mh,8.0,265.0,e6485458-d6c9-4f19-a6f1-a8d09f4ce651
1023,MH-750,60,3,1,750W,50,"2""",6.0,390,12.5,41,Clean Water,https://www.hungpump.com/mh,8.0,265.0,b4790011-5f3c-44e9-8528-9b8dd2f889cc
1024,MVH-10,60,1,3/4,550W,25,"1""",3.0,100,32,105,High Pressure,https://www.hungpump.com/mvh,20.0,65.0,d1df6fe9-d799-4ee9-9366-671ef87b46e8
1025,MVH-10,60,1,3/4,550W,25,"1""",3.0,100,32,105,High Pressure,https://www.hungpump.com/mvh,20.0,65.0,71fa63dd-f84e-4274-9a1c-99dc2dadfe86
1029,CBP-330T,50,3,3,2.2kW,100,"4""",3.0,1200,11.5,38,Clean Water,https://www.hungpump.com/cbp,7.0,1000.0,94fd9c80-5466-48d0-bb4e-3251c8d1f0bc
1031,CBP-440T,50,3,4,3kW,100,"4""",3.0,1300,13,43,Clean Water,https://www.hungpump.com/cbp,8.0,1070.0,1dd709bd-f778-4809-84ba-7ec9d8434539
1033,CBP-540T,50,3,5,3.7kW,100,"4""",3.0,1550,17.5,57,Clean Water,https://www.hungpump.com/cbp,10.0,1280.0,c738703f-4b48-4656-ad0c-48d98fab44c1
1035,CBP-740T,50,3,7.5,5.5kW,100,"4""",3.0,11700,23,75,Clean Water,https://www.hungpump.com/cbp,14.0,1380.0,715a5ebe-2e66-480f-82de-db5fcca87a47
1041,HI-168,50,1,1/4,200W,25,"1""",N/A,34,24,92,Booster,https://www.hungpump.com/hi,15.0,15.0,1f1bfcd1-c2c5-4335-a509-58ec0d08ac20
1042,HI-200,50,1,1/4,200W,20,"3/4""",N/A,55,24,79,Booster,https://www.hungpump.com/hi,15.0,33.0,be067219-c00f-48d1-87e6-1e492a835832
1043,HI-200,50,1,1/4,200W,25,"1""",N/A,55,24,79,Booster,https://www.hungpump.com/hi,15.0,33.0,9bcea175-4828-4a90-827c-5317402ca9b0
1044,HI-200R,50,1,1/4,200W,25,"1""",N/A,55,24,79,Booster,https://www.hungpump.com/hi,15.0,33.0,0566bf8b-f5aa-4bf8-bbc9-f5e471b78ef0
1049,HI-400,50,1,1/2,400W,25,"1""",N/A,70,28,92,Booster,https://www.hungpump.com/hi,20.0,45.0,cde626c7-231b-494a-96e9-b051d387c499
1060,HOME-05,50,1,1/2,400W,25,"1""",3.0,60,36,118,,https://www.hungpump.com/home,20.0,27.0,88bb2ba7-1e3f-4a89-84b4-0fe8b5fb1cef
1061,HOME-10,50,1,1,750W,25,"1""",3.0,75,42,138,,https://www.hungpump.com/home,30.0,28.0,b76304bc-d903-4d8d-a736-b0287777f767
1065,HWCP ll-FS,50,1,3/4,550W,32,"1-1/4""",N/A,138,11,36,BLDC,https://www.hungpump.com/data-234533,6.0,108.0,ece2f7c1-9f08-4cd2-8331-862306842b42
1066,HWCP ll-FT,50,1,3/4,550W,32,"1-1/4""",N/A,138,11,36,BLDC,https://www.hungpump.com/data-234533,6.0,108.0,c6b18f6f-e8dc-412a-bf5c-8e53e73e8b86
1067,HWCP lll-FS,50,1,3/4,550W,32,"1-1/4""",N/A,138,11,36,BLDC,https://www.hungpump.com/data-234533,6.0,108.0,297247c6-2ae6-46fe-b67d-cfeb4d9b8ebe
1068,HWCP lll-FT,50,1,3/4,550W,32,"1-1/4""",N/A,138,11,36,BLDC,https://www.hungpump.com/data-234533,6.0,108.0,40088f56-0aa9-4ce7-b65c-881550600449
1069,HWCP lll-NS,50,1,3/4,550W,32,"1-1/4""",N/A,138,11,36,BLDC,https://www.hungpump.com/data-234533,6.0,108.0,3a7917a1-0f9c-4252-b604-7c0ce2ec0c38
1070,HWCP lll-ST,50,1,3/4,550W,32,"1-1/4""",N/A,138,11,36,BLDC,https://www.hungpump.com/data-234533,6.0,108.0,3c6caf29-72e8-447c-ab26-15c54eb756b2
1071,HWCP ll-NS,50,1,3/4,550W,32,"1-1/4""",N/A,138,11,36,BLDC,https://www.hungpump.com/data-234533,6.0,108.0,51dad1c5-9011-4fbc-858f-adb54369de37
1072,HWCP ll-ST,50,1,3/4,550W,32,"1-1/4""",N/A,138,11,36,BLDC,https://www.hungpump.com/data-234533,6.0,108.0,4a25acf4-576e-447d-9a1e-44b2302c674c
1073,HWCPⅡ,50,1,3/4,550W,32,"1-1/4""",N/A,138,11,36,BLDC,https://www.hungpump.com/data-234533,6.0,108.0,2c26e15c-932a-45b2-848c-6c67d6072234
1075,JA-80,50,1,1/10,80W,20,"3/4""",1.0,23,8.5,28,Booster,https://www.hungpump.com/ja,6.0,11.0,314ff7af-f1ec-4ca0-a5ed-88b8139aab1f
1076,JA-80S,50,1,1/10,80W,20,"3/4""",1.0,23,8.5,28,Booster,https://www.hungpump.com/ja,6.0,11.0,7adb2f08-3f88-4097-b2c0-6eafc86b759f
1077,LSJ-05,50,1,1/2,400W,25,"1""",N/A,60,36,118,Booster,https://www.hungpump.com/lsj,20.0,27.0,74cae22c-6c96-4e05-a95c-041769dd7002
1078,LSJ-05,50,3,1/2,400W,25,"1""",N/A,60,36,118,Booster,https://www.hungpump.com/lsj,20.0,27.0,58eff614-e78c-42ff-906e-158ec00b7cff
1079,LSJ-05,50,1,1/2,400W,25,"1""",3.0,60,36,118,Booster,https://www.hungpump.com/lsj,20.0,27.0,b180b029-293f-4c23-8177-4deb80c5a302
1083,LSJ-05E,50,1,1/2,400W,25,"1""",N/A,60,36,118,Booster,https://www.hungpump.com/lsj,20.0,27.0,814a3ccb-5fa0-4769-b9c1-ef2408e22f3d
1084,LSJ-05E,50,3,1/2,400W,25,"1""",N/A,60,36,118,Booster,https://www.hungpump.com/lsj,20.0,27.0,ef8fee95-3d11-431b-a757-96ae98e8b683
1085,LSJ-10,50,1,1,750W,25,"1""",N/A,75,42,138,Booster,https://www.hungpump.com/lsj,30.0,28.0,16a29b4a-804b-4c81-bed3-8822cf931731
1086,LSJ-10,50,3,1,750W,25,"1""",N/A,75,42,138,Booster,https://www.hungpump.com/lsj,30.0,28.0,d02b1a94-5e2b-45e7-acce-0e895570d134
1087,LSJ-10,50,1,1,750W,25,"1""",3.0,75,42,138,Booster,https://www.hungpump.com/lsj,30.0,28.0,394f73c9-37ef-4ed1-8473-480cd0fca587
1088,LSJ-10E,50,1,1,750W,25,"1""",N/A,75,42,138,Booster,https://www.hungpump.com/lsj,30.0,28.0,49ce2f3a-f868-4480-9721-75d300966b10
1091,MT-105T,50,3,3,2.2kW,50,"2""",2.0,320,50,164,Booster,https://www.hungpump.com/mt,30.0,240.0,2acc221a-09f8-4b87-8dce-43fc36378991
1093,MT-43T,50,3,1,750W,25,"1""",2.0,130,37,121,Booster,https://www.hungpump.com/mt,20.0,68.0,0ab1340d-579e-404f-8874-f74ebcc1ce39
1095,MT-44T,50,3,1.5,1.1kW,25,"1""",2.0,130,50,164,Booster,https://www.hungpump.com/mt,30.0,65.0,c1122ed5-a43e-47e1-a3eb-b462cace152a
1097,MT-45T,50,3,2,1.5kW,25,"1""",2.0,130,60,197,Booster,https://www.hungpump.com/mt,40.0,68.0,dfa45622-2cfb-441b-a4c9-5ba6dd408ac6
1099,MT-46T,50,3,2,1.5kW,25,"1""",2.0,130,75,246,Booster,https://www.hungpump.com/mt,50.0,65.0,b9b75185-f172-48fa-a52e-c485352d585f
1100,MT-46T,50,3,2,1.5kW,25,"1""",2.0,130,75,246,Booster,https://www.hungpump.com/mt,50.0,87.0,0630e7a0-7790-4b8a-b3d4-9b7fdef87e77
1102,MT-83T,50,3,1.5,1.1kW,32,"1-1/4""",2.0,320,31,102,Booster,https://www.hungpump.com/mt,20.0,180.0,e0e8f778-a38d-4530-9f8e-8f5ad9c75f7e
1104,MT-84T,50,3,2,1.5kW,32,"1-1/4""",2.0,320,40,131,Booster,https://www.hungpump.com/mt,30.0,130.0,3b90478a-d983-4075-a9eb-4b95a269d496
1105,MT-84T,50,3,2,1.5kW,32,"1-1/4""",2.0,320,40,131,Booster,https://www.hungpump.com/mt,20.0,225.0,1d4aeb9d-dab5-43f2-b26a-73ef672dbfd2
1107,MT-85T,50,3,3,2.2kW,32,"1-1/4""",2.0,320,47,154,Booster,https://www.hungpump.com/mt,30.0,180.0,e13c8946-4372-4a03-af62-f32eb3bf769e
1108,MT-85T,50,3,3,2.2kW,32,"1-1/4""",3.0,320,47,154,Booster,https://www.hungpump.com/mt,30.0,180.0,2a09511c-fc48-454f-b4d5-050cfc745656
1109,MTS-162,50,1,2,1.5kW,50,"2""",N/A,540,28,92,,https://www.hungpump.com/mts-8-16,10.0,480.0,068fef44-2cfd-4bd5-b4d8-a70995aac672
1114,MTS-163,50,1,3,2.2kW,50,"2""",N/A,540,40,131,,https://www.hungpump.com/mts-8-16,30.0,330.0,061ffbbe-00ac-4603-8315-f57db09525f8
1118,MTS-32,50,1,1/3,250W,25,"1""",N/A,85,20,66,,https://www.hungpump.com/mts-3-5,10.0,70.0,0d4af3f4-c198-4d8d-ac75-cf40e9ab7c8d
1120,MTS-33,50,1,1/2,400W,25,"1""",N/A,85,27,89,,https://www.hungpump.com/mts-3-5,15.0,65.0,7c372346-e87d-4454-8614-c2ce7870cbeb
1122,MTS-34,50,1,3/4,550W,25,"1""",N/A,85,36,118,,https://www.hungpump.com/mts-3-5,20.0,65.0,e925b3d9-da57-43ac-b9b3-1b79efbf370e
1124,MTS-35,50,1,1,750W,25,"1""",N/A,85,44,144,,https://www.hungpump.com/mts-3-5,30.0,55.0,2e18b147-20dc-4146-8b53-9de21cf77727
1126,MTS-36,50,1,1.5,1.1kW,25,"1""",N/A,85,53,174,,https://www.hungpump.com/mts-3-5,30.0,65.0,e0e3cde9-ebe9-43f1-a309-5f85feb06c1b
1128,MTS-52,50,1,1/2,400W,25,"1""",N/A,140,19,62,,https://www.hungpump.com/mts-3-5,10.0,100.0,0eb85e3d-bbaa-4899-8efa-1e466901405f
1130,MTS-53,50,1,3/4,550W,25,"1""",N/A,140,29,95,,https://www.hungpump.com/mts-3-5,15.0,100.0,23807e43-d98c-4900-9e95-771746aca4a8
1132,MTS-54,50,1,1,750W,25,"1""",N/A,140,38,125,,https://www.hungpump.com/mts-3-5,20.0,105.0,8778bf88-6957-497f-a3c9-0cc3799d08d5
1133,MTS-54,50,3,1,750W,25,"1""",N/A,140,38,125,,https://www.hungpump.com/mts-3-5,20.0,105.0,d37d9529-f23b-4df8-8d51-608e352a2dfa
1135,MTS-55,50,1,1.5,1.1kW,25,"1""",N/A,140,47,154,,https://www.hungpump.com/mts-3-5,30.0,95.0,658db93d-662d-4387-8e56-38e6316a7820
1137,MTS-56,50,1,2,1.5kW,25,"1""",N/A,140,56,184,,https://www.hungpump.com/mts-3-5,40.0,92.0,993101c9-ab34-477d-a96b-35a9f8b15c74
1139,MTS-83,50,1,1.5,1.1kW,40,"1-1/2""",N/A,310,33,108,,https://www.hungpump.com/mts-8-16,20.0,200.0,6c623f06-b3d4-413e-8cdf-43443a5fc060
1141,MTS-84,50,1,2,1.5kW,40,"1-1/2""",N/A,310,44,144,,https://www.hungpump.com/mts-8-16,30.0,185.0,9b6ab8b5-8c9a-4a63-a06a-44da3102b064
1143,MTS-85,50,1,3,2.2kW,40,"1-1/2""",N/A,310,55,180,,https://www.hungpump.com/mts-8-16,40.0,185.0,00c3eaa5-cd36-48c1-9396-b2e08568f58b
1156,SMP-10,50,1,1,750W,40,"1-1/2""",N/A,310,14,46,Clean Water,https://www.hungpump.com/smp,9.0,175.0,7525c531-6db6-4639-ba8b-ce50ed49e7fc
1157,SMP-10,50,3,1,750W,40,"1-1/2""",N/A,310,14,46,Clean Water,https://www.hungpump.com/smp,9.0,175.0,875ef2fa-a545-4e86-824c-0f569c9d698a
1158,SMP-20,50,1,2,1.5kW,50,"2""",N/A,460,16,52,Clean Water,https://www.hungpump.com/smp,9.0,350.0,8d374376-f1d2-4237-9727-7b76741aeeee
1159,SMP-20,50,3,2,1.5kW,50,"2""",N/A,460,16,52,Clean Water,https://www.hungpump.com/smp,9.0,350.0,14a141e2-e76d-4f7a-9d49-2c6e8384a19d
1160,SMP-30,50,1,3,2.2kW,50,"2""",N/A,520,20,66,Clean Water,https://www.hungpump.com/smp,12.0,395.0,6f1d71e0-c745-460f-bda3-11c871374da9
1161,SMP-30,50,3,3,2.2kW,50,"2""",N/A,520,20,66,Clean Water,https://www.hungpump.com/smp,12.0,395.0,32dd70a9-924b-4006-9e03-c84fd9f0952a
1162,SMP-30,50,3,3,2.2kW,50,"2""",2.0,520,20,66,Clean Water,https://www.hungpump.com/smp,12.0,395.0,74577ee8-ca4d-412a-86cd-01db73d1fb49
1164,SPA-10,50,1,1,750W,40,"1-1/2""",N/A,320,13.5,44,,https://www.hungpump.com/spa-10,8.0,190.0,c2e32dde-a456-4382-9e28-177c549ae0e1
1165,SPA-150B,50,1,1,750W,40,"1-1/2""",N/A,350,15.5,51,,https://www.hungpump.com/spa-150b,10.0,145.0,8872e47a-878f-44af-a640-154234f1dcc6
1172,SW-120S,50,1,1 1/4,1kW,25,"1""",3.0,140,28,92,,https://www.hungpump.com/sw-60-120-250,20.0,110.0,50420b14-0681-4695-9539-fda229b410a2
1176,SW-220T,50,3,2,1.5kW,50,"2""",N/A,630,24,79,,https://www.hungpump.com/sw-220-320-420,15.0,410.0,cb7b84a6-c6b0-42ad-a614-acc806f38ad4
1179,SW-250S,50,1,2.5,1.85kW,32,"1-1/4""",3.0,300,30,98,,https://www.hungpump.com/sw-60-120-250,25.0,180.0,c0a0e80e-b61b-4294-9e65-4c2195ad7c8c
1182,SW-320T,50,3,3,2.2kW,50,"2""",N/A,650,29,95,,https://www.hungpump.com/sw-220-320-420,18.0,500.0,8b646005-8797-4a5d-8c3b-5dc7b945e248
1184,SW-420T,50,3,4,3kW,50,"2""",3.0,680,31,102,,https://www.hungpump.com/sw-220-320-420,18.0,540.0,85c81a22-9ce7-4b4b-83d7-b4ca47024c1a
1185,SW-60,50,1,1/2,400W,25,"1""",3.0,120,17,56,,https://www.hungpump.com/sw-60-120-250,10.0,85.0,175d5af9-335a-43ef-9f4b-30d14017c459
1190,SWO-220T,50,3,2,1.5kW,50,"2""",8.0,620,14,46,Booster,https://www.hungpump.com/swo,8.0,430.0,523a206f-fba2-42d8-bb5f-9a6f7f2bbbec
1192,SWO-320T,50,3,3,2.2kW,50,"2""",8.0,660,16,52,Booster,https://www.hungpump.com/swo,10.0,490.0,885735d9-b236-4c07-b362-e8625cfb78ca
