Model No.,Frequency (Hz),Pole,HP,Power(KW),Outlet (mm),Outlet (inch),Pass Solid Dia(mm),Max Flow (LPM),Max Head (M),Max Head (ft),Category,Product Link
DS-05,50,3,1/2,400W,50,"2""",15,270,10,33,,https://www.hungpump.com/ds
DS-05A,50,1,1/2,400W,50,"2""",15,300,10,33,,https://www.hungpump.com/ds
DS-10,50,1,1,750W,50,"2""",15,420,14,46,,https://www.hungpump.com/ds
DS-10,50,3,1,750W,50,"2""",15,420,14,46,,https://www.hungpump.com/ds
DS-100,50,3,10,7.5kW,100,"4""",27,1500,27,89,,https://www.hungpump.com/ds
DS-20,50,1,2,1.5kW,80,"3""",35,960,15.5,51,,https://www.hungpump.com/ds
DS-20,50,3,2,1.5kW,80,"3""",35,960,15.5,51,,https://www.hungpump.com/ds
DS-20,50,1,2,1.5kW,80,"3""",15,700,17,56,,https://www.hungpump.com/ds
DS-20GA,50,1,2,1.5kW,80,"3""",15,700,17,56,,https://www.hungpump.com/ds
DS-20,50,3,2,1.5kW,80,"3""",15,700,17,56,,https://www.hungpump.com/ds
DS-20G,50,1,2,1.5kW,80,"3""",35,960,15.5,51,,https://www.hungpump.com/ds
DS-20G,50,3,2,1.5kW,80,"3""",35,960,15.5,51,,https://www.hungpump.com/ds
DS-30,50,3,3,2.2kW,80,"3""",35,1200,20,66,,https://www.hungpump.com/ds
DS-30,50,3,3,2.2kW,80,"3""",15,860,20,66,,https://www.hungpump.com/ds
DS-30G,50,3,3,2.2kW,80,"3""",35,1200,20,66,,https://www.hungpump.com/ds
DS-50G,50,3,5,3.7kW,80,"3""",35,1400,26,85,,https://www.hungpump.com/ds
DS-50,50,3,5,3.7kW,80,"3""",35,1400,26,85,,https://www.hungpump.com/ds
DS-50,50,3,5,3.7kW,100,"4""",15,1300,22,72,,https://www.hungpump.com/ds
DS-75,50,3,7.5,5.5kW,100,"4""",20,1400,24,79,,https://www.hungpump.com/ds
DSK-05,50,1,1/2,400W,50,"2""",15,270,10,33,Dirty Water,https://www.hungpump.com/dsk
DSK-05A,50,1,1/2,400W,50,"2""",15,270,10,33,Dirty Water,https://www.hungpump.com/dsk
DSK-05,50,3,1/2,400W,50,"2""",15,270,10,33,Dirty Water,https://www.hungpump.com/dsk
DSK-10,50,1,1,750W,50,"2""",15,420,14,46,Dirty Water,https://www.hungpump.com/dsk
DSK-10A,50,1,1,750W,50,"2""",15,420,14,46,Dirty Water,https://www.hungpump.com/dsk
DSK-10GA,50,1,1,750W,50,"2""",15,420,14,46,Dirty Water,https://www.hungpump.com/dsk
DSK-10,50,3,1,750W,50,"2""",15,420,14,46,Dirty Water,https://www.hungpump.com/dsk
DSK-10G-3,50,3,1,750W,50,"2""",15,420,14,46,Dirty Water,https://www.hungpump.com/dsk
DSK-100,50,3,10,7.5kW,100,"4""",27,1500,27,89,Dirty Water,https://www.hungpump.com/dsk
DSK-20,50,1,2,1.5kW,80,"3""",15,700,17,56,Dirty Water,https://www.hungpump.com/dsk
DSK-20,50,3,2,1.5kW,80,"3""",15,700,17,56,Dirty Water,https://www.hungpump.com/dsk
DSK-20,50,3,2,1.5kW,80,"3""",15,700,17,56,Dirty Water,https://www.hungpump.com/dsk
DSK-20G-3,50,3,2,1.5kW,80,"3""",15,700,17,56,Dirty Water,https://www.hungpump.com/dsk
DSK-30,50,3,3,2.2kW,80,"3""",15,860,20,66,Dirty Water,https://www.hungpump.com/dsk
DSK-30G-3,50,3,3,2.2kW,80,"3""",15,860,20,66,Dirty Water,https://www.hungpump.com/dsk
DSK-50,50,3,5,3.7kW,100,"4""",15,1300,22,72,Dirty Water,https://www.hungpump.com/dsk
DSK-50G-3,50,3,5,3.7kW,100,"4""",15,1300,22,72,Dirty Water,https://www.hungpump.com/dsk
DSK-75,50,3,7.5,5.5kW,100,"4""",20,1400,24,79,Dirty Water,https://www.hungpump.com/dsk
DSK-75-3,50,3,7.5,5.5kW,100,"4""",20,1400,24,79,Dirty Water,https://www.hungpump.com/dsk
DSP-10,50,1,1,750W,50,"2""",30,400,14,46,Dirty Water,https://www.hungpump.com/dsp
DSP-10,50,3,1,750W,50,"2""",30,400,14,46,Dirty Water,https://www.hungpump.com/dsp
DSP-20,50,1,2,1.5kW,80,"3""",40,880,18,59,Dirty Water,https://www.hungpump.com/dsp
DSP-20,50,3,2,1.5kW,80,"3""",40,880,18,59,Dirty Water,https://www.hungpump.com/dsp
DSP-20T,50,3,2,1.5kW,80,"3""",40,880,18,59,Dirty Water,https://www.hungpump.com/dsp
DSP-30,50,3,3,2.2kW,80,"3""",40,1200,20,66,Dirty Water,https://www.hungpump.com/dsp
DSP-30T,50,3,3,2.2kW,80,"3""",40,1200,20,66,Dirty Water,https://www.hungpump.com/dsp
DSP-30-3,50,3,3,2.2kW,80,"3""",40,1200,20,66,Dirty Water,https://www.hungpump.com/dsp
DSP-50,50,3,5,3.7kW,100,"4""",45,1300,22,72,Dirty Water,https://www.hungpump.com/dsp
DSP-50T,50,3,5,3.7kW,100,"4""",45,1300,22,72,Dirty Water,https://www.hungpump.com/dsp
DSP-75,50,3,7.5,5.5kW,100,"4""",50,2100,24,79,Dirty Water,https://www.hungpump.com/dsp
DSP-75T,50,3,7.5,5.5kW,100,"4""",50,2100,24,79,Dirty Water,https://www.hungpump.com/dsp
DSP-100,50,3,10,7.5kW,150,"6""",65,2500,28,92,Dirty Water,https://www.hungpump.com/dsp
DSP-100T,50,3,10,7.5kW,150,"6""",65,2500,28,92,Dirty Water,https://www.hungpump.com/dsp
DSP-100-3,50,3,10,7.5kW,150,"6""",65,2500,28,92,Dirty Water,https://www.hungpump.com/dsp
DSP-150,50,3,15,11kW,150,"6""",65,3200,32,105,Dirty Water,https://www.hungpump.com/dsp
DSP-150T,50,3,15,11kW,150,"6""",65,3200,32,105,Dirty Water,https://www.hungpump.com/dsp
DSP-150,50,3,15,11kW,100,"4""",65,3200,32,105,Dirty Water,https://www.hungpump.com/dsp
DSP-150-3,50,3,15,11kW,100,"4""",65,3200,32,105,Dirty Water,https://www.hungpump.com/dsp
DSPK-10,50,1,1,750W,50,"2""",30,400,14,46,,https://www.hungpump.com/dspk
DSPK-10,50,3,1,750W,50,"2""",30,400,14,46,,https://www.hungpump.com/dspk
DSPK-100,50,3,10,7.5kW,150,"6""",65,2500,28,92,,https://www.hungpump.com/dspk
DSPK-150,50,3,15,11kW,150,"6""",65,3200,32,105,,https://www.hungpump.com/dspk
DSPK-20,50,1,2,1.5kW,80,"3""",40,880,18,59,,https://www.hungpump.com/dspk
DSPK-20,50,3,2,1.5kW,80,"3""",40,880,18,59,,https://www.hungpump.com/dspk
DSPK-30,50,3,3,2.2kW,80,"3""",40,1200,20,66,,https://www.hungpump.com/dspk
DSPK-50,50,3,5,3.7kW,100,"4""",45,1300,22,72,,https://www.hungpump.com/dspk
DSPK-75,50,3,7.5,5.5kW,100,"4""",50,2100,24,79,,https://www.hungpump.com/dspk
FAS-150,50,1,1/5,150W,40,"1-1/2""",19,230,6,20,,https://www.hungpump.com/fas
FAS-150,50,1,1/5,150W,50,"2""",19,230,6,20,,https://www.hungpump.com/fas
FAS-150A,50,1,1/5,150W,50,"2""",19,230,6,20,,https://www.hungpump.com/fas
FAS-250,50,1,1/3,250W,40,"1-1/2""",19,270,7,23,,https://www.hungpump.com/fas
FAS-250,50,1,1/3,250W,50,"2""",19,270,7,23,,https://www.hungpump.com/fas
FAS-250A,50,1,1/3,250W,50,"2""",19,270,7,23,,https://www.hungpump.com/fas
FAS-400,50,1,1/2,400W,50,"2""",19,320,9,30,,https://www.hungpump.com/fas
FAS-750,50,1,1,750W,50,"2""",19,380,12,39,,https://www.hungpump.com/fas
FVS-400L,50,1,1/2,400W,50,"2""",19,330,8.5,28,,https://www.hungpump.com/fvs
GC-07,50,1,3/4,550W,32,"1-1/4""",N/A,145,10,33,Grinder,https://www.hungpump.com/gc
GC-07,50,3,3/4,550W,32,"1-1/4""",N/A,145,10,33,Grinder,https://www.hungpump.com/gc
GCB-07,50,1,3/4,550W,32,"1-1/4""",N/A,130,13,42,Grinder,https://www.hungpump.com/gcb
GCB-07,50,1,3/4,550W,32,"1-1/4""",N/A,130,13,42,Grinder,https://www.hungpump.com/gcb
GC-10,50,1,1,750W,32,"1-1/4""",N/A,160,15,49,Grinder,https://www.hungpump.com/gc
GC-10A,50,1,1,750W,32,"1-1/4""",N/A,160,15,49,Grinder,https://www.hungpump.com/gc
GC-10,50,3,1,750W,32,"1-1/4""",N/A,160,15,49,Grinder,https://www.hungpump.com/gc
GCB-10,50,1,1,750W,32,"1-1/4""",N/A,200,17,55,Grinder,https://www.hungpump.com/gcb
GCB-10,50,1,1,750W,32,"1-1/4""",N/A,200,17,55,Grinder,https://www.hungpump.com/gcb
GC-20,50,1,2,1.5kW,32,"1-1/4""",N/A,180,25,82,Grinder,https://www.hungpump.com/gc
GC-20,50,3,2,1.5kW,32,"1-1/4""",N/A,180,25,82,Grinder,https://www.hungpump.com/gc
GC-30,50,3,3,2.2kW,50,"2""",N/A,180,35,115,Grinder,https://www.hungpump.com/gc
GC-3053,50,3,3,2.2kW,50,"2""",N/A,180,35,115,Grinder,https://www.hungpump.com/gc
GC-30-3,50,3,3,2.2kW,50,"2""",N/A,180,35,115,Grinder,https://www.hungpump.com/gc
GC-30,50,3,3,2.2kW,50,"2""",N/A,180,35,115,Grinder,https://www.hungpump.com/gc
GC-50,50,3,5,3.7kW,65,"2-1/2""",N/A,320,42,138,Grinder,https://www.hungpump.com/gc
GC-5053,50,3,5,3.7kW,65,"2-1/2""",N/A,320,42,138,Grinder,https://www.hungpump.com/gc
GC-50-3,50,3,5,3.7kW,65,"2-1/2""",N/A,320,42,138,Grinder,https://www.hungpump.com/gc
GC-75,50,3,7.5,5.5kW,65,"2-1/2""",N/A,320,50,164,Grinder,https://www.hungpump.com/gc
GD-15,50,1,1.5,1.1kW,32,"1-1/4""",N/A,230,20,66,,https://www.hungpump.com/gd
GD-15,50,3,1.5,1.1kW,32,"1-1/4""",N/A,230,20,66,,https://www.hungpump.com/gd
GD-20,50,1,2,1.5kW,32,"1-1/4""",N/A,235,23,75,,https://www.hungpump.com/gd
GD-20,50,3,2,1.5kW,32,"1-1/4""",N/A,235,23,75,,https://www.hungpump.com/gd
GD-30,50,3,3,2.2kW,32,"1-1/4""",N/A,235,28,92,,https://www.hungpump.com/gd
GDH-15,50,1,1.5,1.1kW,32,"1-1/4""",N/A,110,29,95,Grinder,https://www.hungpump.com/gdh
GDH-15,50,3,1.5,1.1kW,32,"1-1/4""",N/A,110,29,95,Grinder,https://www.hungpump.com/gdh
GDH-20,50,1,2,1.5kW,32,"1-1/4""",N/A,175,30,98,Grinder,https://www.hungpump.com/gdh
GDH-20,50,3,2,1.5kW,32,"1-1/4""",N/A,175,30,98,Grinder,https://www.hungpump.com/gdh
GDH-20-3,50,3,2,1.5kW,32,"1-1/4""",N/A,175,30,98,Grinder,https://www.hungpump.com/gdh
GDH-20C,50,1,2,1.5kW,50,"2""",N/A,400,7,23,Grinder,https://www.hungpump.com/gdh
GP-411,50,1,15,11kW,100,"4""",30,3200,19,62,Construction,https://www.hungpump.com/gp
GS-15,50,1,1.5,1.1kW,32,"1-1/4""",N/A,50,85,280,Grinder,https://www.hungpump.com/gs
GS-15A,50,1,1.5,1.1kW,32,"1-1/4""",N/A,50,85,280,Grinder,https://www.hungpump.com/gs
GS-15,50,3,1.5,1.1kW,32,"1-1/4""",N/A,50,85,280,Grinder,https://www.hungpump.com/gs
GS-15TA,50,3,1.5,1.1kW,32,"1-1/4""",N/A,50,85,280,Grinder,https://www.hungpump.com/gs
HD-10,50,1,1,750W,80,"3""",10,600,9.5,31,,https://www.hungpump.com/hd
HD-10,50,3,1,750W,80,"3""",10,600,9.5,31,,https://www.hungpump.com/hd
HD-15,50,1,1.5,1.1kW,80,"3""",10,820,10,33,,https://www.hungpump.com/hd
HD-15,50,3,1.5,1.1kW,80,"3""",10,820,10,33,,https://www.hungpump.com/hd
HD-20,50,1,2,1.5kW,80,"3""",10,1050,11.5,38,,https://www.hungpump.com/hd
HD-20,50,3,2,1.5kW,80,"3""",10,1050,11.5,38,,https://www.hungpump.com/hd
HF-10,50,1,1.5,1.1kW,80,"3""",19,850,8,26,Sewage and Wastewater,https://www.hungpump.com/hf
HF-10,50,3,1.5,1.1kW,80,"3""",19,850,8,26,Sewage and Wastewater,https://www.hungpump.com/hf
HF-20,50,1,2,1.5kW,80,"3""",19,1200,12,39,Sewage and Wastewater,https://www.hungpump.com/hf
HF-20,50,3,2,1.5kW,80,"3""",19,1200,12,39,Sewage and Wastewater,https://www.hungpump.com/hf
JA-20,50,1,2,1.5kW,80,"3""",35,620,18,59,Booster,https://www.hungpump.com/ja
JA-20,50,3,2,1.5kW,80,"3""",35,620,18,59,Booster,https://www.hungpump.com/ja
JA-20,50,3,2,1.5kW,80,"3""",35,620,18,59,Booster,https://www.hungpump.com/ja
JA-30,50,1,3,2.2kW,80,"3""",35,780,18,59,Booster,https://www.hungpump.com/ja
JA-30,50,3,3,2.2kW,80,"3""",35,780,18,59,Booster,https://www.hungpump.com/ja
JA-30,50,3,3,2.2kW,80,"3""",35,780,18,59,Booster,https://www.hungpump.com/ja
JA-50,50,3,5,3.7kW,100,"4""",45,1100,22,72,Booster,https://www.hungpump.com/ja
JA-50,50,3,5,3.7kW,100,"4""",45,1100,22,72,Booster,https://www.hungpump.com/ja
JK-05,50,1,1/2,400W,50,"2""",30,320,9,30,Dirty Water,https://www.hungpump.com/jk
JK-05,50,3,1/2,400W,50,2',30,320,9,30,Dirty Water,https://www.hungpump.com/jk
JK-10,50,1,1,750W,50,"2""",30,400,12,39,Dirty Water,https://www.hungpump.com/jk
JK-10,50,3,1,750W,50,"2""",30,400,11,39,Dirty Water,https://www.hungpump.com/jk
JK-10T,50,3,1,750W,50,"2""",30,400,11,39,Dirty Water,https://www.hungpump.com/jk
